,Album,Title,Lyrics
47,Black Masses,Scorpio Curse,"Sunsets in Scorpio, the new day is gone
This world was dead and done before I was born
All around me is misery
The living dead trying to drag me down
I stalk the streets at night, be afraid it's knife or be knifed
Cities graveyards the dead will rise, grinning ghouls that I despise
Children raped and mothers killed
All around us animals blood will be spilled

This world is dead, this world is bled
Children worship, dead eyes and cocaine
Lucifer laughs this is his domain
Dead fill the streets up to the sky
Tears fill my eyes but I will not die

This dead black asteroid crawling with maggots decayed
Black seas spew up Leviathan, even new gods are stillborn
When the earth finally crashes into the sun
Tears of joy at last as I burn

This world is dead, this world is bled
Children worship, dead eyes and cocaine
Lucifer laughs this is his domain
Dead fill the streets up to the sky
Tears fill my eyes but I will not die

You've never known, you've never shown
You've never bled, you're only dead
You've never been, you've never seen
You never had a fucking chance"
48,Wizard Bloody Wizard,See You in Hell,"I'm so cold inside
My feelings petrified
Your torture and screams
Mean nothing to me

This dying world gasps its last breath
As we turn off our minds
All hope is lost
There'll be no new dawn
And all of your dreams will die
Die!

I need something to fix the pain
Baby, baby, please stick the needle in
Then I'll be dead and blue
Just like you

This dying world gasps its last breath
As we turn off our minds
All hope is lost
There'll be no new dawn
And all of your dreams will die
Die!

[Solo]

Hellhounds still haunting me
I know I'll never be free
Lucifer, my only friend
I'll burn in Hell 'til the end, yeah!

I'm so dead inside
Wishing I could die
Your torture and screams
Still haunt my dreams

This dying world gasps its last breath
As we turn off our minds
All hope is lost
There'll be no new dawn
And all of your dreams will die
Die!

This world has made me depraved and sick
Yeah, baby, I tortured you just for kicks
But I am obsessed by evil
Forever a servant of the Devil"
49,Come My Fanatics....,Solarian 13,[Instrumental]
50,Come My Fanatics....,Son of Nothing,"[Verse 1]
Dying sun fades in our sky
The time has come for us to say goodbye
Construct the pods, we must evacuate
To the stars again, is this to be our fate?

[Hook]
Oh baby, just maybe, we'll take you
To the sun of nothingness

[Verse 2]
We left the war pigs far behind
Plot apocalyptic course to find
Will we ever reach our journey's end
To find a world and start again

[Hook]"
51,Electric Wizard,Stone Magnet,"Drawn by the power of the ultraviolet sun
Spinning eye of the Lord, it looks upon
Magnetic cobs spread forth and spin a web
I can see a thousand worlds right here in my bed
Oh yeah

Looking all around, the world's a dream
Traveling to places that I have never seen
High up here is where I'm really free
Listen people, you've got to free the weed
Oh yeah

Yeah, you knew the deal
You knew I would make you feel
But look around you, what you got
No hope, no future, no fuckin' job
Yeah"
52,We Live,Sun Has Turned to Black,"Earth torn from it's path by meteoric pass
Showered by debris
Continents crumble, our cities funeral pyres
Crash into the sea

The sun has turned to black
No turning back
They hide amongst the stars and wait

Reaper's shadow cast across the aftermath
We cannot escape
Everlasting night, return to pagan rites
The old ones rule supreme"
53,Supercoven,Supercoven,"Black sun master
Under starless sky
Black stone alter
They pray to the sign
The old ones were
And they shall be again
Yog sothoth is the gate
Planetary alignment predicts their reign

Supercoven

Have awakened the ancient ones
Mindless slaves to the black god
Moan dark hymns to the sun
They watch from the sun
Since our lives had begun
They want us to be free
If only we could see
Yeah! Turn to the sun

SUPERCOVEN! (repeat until you are stoned)"
54,Witchcult Today,The Chosen Few,"Hail covens this is it
A 1000 amps toll the end time riff
The sky a coffin lid
All condemned beneath its shadow
The chosen few, the chosen knew
Spelled out in the stars his prophecy
Raise your fists now you exist
The bell of doom strikes 13th hour

The time has come
All the chosen time to put down your bongs
Take up a knife end all life
Legalise drugs and murder
Satanas luciferus we pledge these souls to you
Now satans slaves, your lives weren't saved
Die now in the shadow of the pentagram

The chosen few, look up in the sky
The chosen few, waiting for the sign
The chosen few, still children of the grave
Satan's slaves"
55,Dopethrone,The Hills Have Eyes,[Instrumental]
56,Black Masses,The Nightchild,"Under the black sun I crawl from my grave
Your body I worship, your blood I crave
I creep by your window, the light I despise
You cannot see me but feel my cold eyes

I am the Nightchild, shadows gather round me
Are you a Nightchild? Join us and be free

Your rotten world means nothing to me
Undercover of darkness is when I am free
The Nightchild is creeping, forever seeking
New bodies new victims, drug and murder addicted

I am the Nightchild, shadows gather round me
Are you a Nightchild? Join us and be free

I am the Nightchild, I am the Nightchild
I am the Nightchild, I am the Nightchild
I am the Nightchild, I am the Nightchild

Under the black sun, under the black sun
Under the black sun, under the black sun
Under the black sun, under the black sun
Under the black sun, under the black sun
Under the black sun, under the black sun
Under the black sun, under the black sun
Under the black sun, under the black sun
Under the black sun, under the black sun
Under the black sun, under the black sun"
57,Let Us Pray,The Outsider,"[Verse 1]
I am now an outsider
Always watching
Never screaming
Forever watching
Always feeling
Never dreaming
Always dreaming
Always dreaming

[Verse 1]

[Verse 1]"
58,Wizard Bloody Wizard,The Reaper,"I've gone too far
All feelings have died
Hopeless and drugged
Slip into the void

No reason to live
No reason to die
No reason to live
The reaper is laughing

I've gone too far
All feelings have died
Hopeless and drugged
Slip into the void

Slip into the void
Slip into the void
Slip into the void"
